source_id,target_id,value
DMI,ROC,0.265679166
BOLL,ROC,0.255796894
DMI,DMI,0.248639207
MACD,DMI,0.215279809
DMI,MTM,0.214382061
BOLL,MTM,0.201965215
DMI,KDJ,0.195057951
DMI,BOLL,0.190928976
DMI,PSY,0.182727298
BOLL,BOLL,0.160106267
KDJ,BOLL,0.156069334
MACD,BOLL,0.152398736
KDJ,ROC,0.14145594
MACD,ROC,0.134141922
PSY,BOLL,0.129636738
KDJ,MTM,0.124776331
DMI,WR,0.121428967
WR,BOLL,0.119181468
WR,ROC,0.112984387
MACD,MACD,0.109689074
MACD,VR,0.106727144
PSY,WR,0.106329751
WR,MTM,0.105612227
ROC,ROC,0.105118651
MACD,MTM,0.103556037
ARBR,ARBR,0.100492969
MACD,KDJ,0.098487782
KDJ,WR,0.098333646
ARBR,BOLL,0.087836888
MACD,WR,0.083710474
VR,KDJ,0.083495299
MACD,PSY,0.083316308
PSY,VR,0.081078484
KDJ,KDJ,0.080894761
VR,BIAS,0.080642158
DMI,BIAS,0.079509051
KDJ,BIAS,0.079185104
VR,VR,0.078937156
MACD,BIAS,0.077440637
MTM,MTM,0.074719072
BIAS,ROC,0.073985268
VR,RSI,0.073156243
BIAS,BOLL,0.072963362
RSI,ARBR,0.071373945
WR,BIAS,0.071110182
BIAS,MTM,0.071074162
ROC,MTM,0.070409133
PSY,KDJ,0.069662093
VR,BOLL,0.069134096
WR,ARBR,0.068971367
PSY,BIAS,0.068959501
PSY,ROC,0.067735654
BIAS,ARBR,0.066575589
WR,WR,0.066261744
RSI,BIAS,0.06560186
BIAS,BIAS,0.065406532
VR,MTM,0.063836308
ARBR,MTM,0.061334278
ARBR,ROC,0.060676232
KDJ,ARBR,0.060572614
VR,WR,0.0571544
VR,ROC,0.056504619
DMI,VR,0.055787766
PSY,PSY,0.055062519
RSI,BOLL,0.052803779
PSY,ARBR,0.051028865
MACD,ARBR,0.050050464
DMI,RSI,0.049989765
RSI,MTM,0.048181977
PSY,MTM,0.047906234
PSY,RSI,0.045941787
MACD,RSI,0.044042541
RSI,ROC,0.043623164
DMI,ARBR,0.043472909
VR,ARBR,0.040979007
KDJ,RSI,0.012326817
RSI,RSI,0.004025362
WR,RSI,-0.001064123
